ano,sigla_uf,populacao
2011,RN,3198657
2011,RO,1576455
2011,RR,460165
2011,RS,10733030
2011,SC,6317054
2011,SE,2089819
2011,SP,41587182
2011,TO,1400892
2012,AC,758786
2012,AL,3165472
2012,AM,3590985
2012,AP,698602
2012,BA,14175341
2012,CE,8606005
2012,DF,2648532
2012,ES,3578067
2012,GO,6154996
2012,MA,6714314
2012,MG,19855332
2012,MS,2505088
2012,MT,3115336
2012,PA,7792561
2012,PB,3815171
2012,PE,8931028
2012,PI,3160748
2012,PR,10577755
2012,RJ,16231365
2012,RN,3228198
2012,RO,1590011
2012,RR,469524
2012,RS,10770603
2012,SC,6383286
2012,SE,2110867
2012,SP,41901219
2012,TO,1417694
2013,AC,776463
2013,AL,3300935
2013,AM,3807921
2013,AP,734996
2013,BA,15044137
2013,CE,8778576
2013,DF,2789761
2013,ES,3839366
2013,GO,6434048
2013,MA,6794301
2013,MG,20593356
2013,MS,2587269
2013,MT,3182113
2013,PA,7969654
2013,PB,3914421
2013,PE,9208550
2013,PI,3184166
2013,PR,10997465
2013,RJ,16369179
2013,RN,3373959
2013,RO,1728214
2013,RR,488072
2013,RS,11164043
2013,SC,6634254
2013,SE,2195662
2013,SP,43663669
2013,TO,1478164
2014,AC,790101
2014,AL,3321730
2014,AM,3873743
2014,AP,750912
2014,BA,15126371
2014,CE,8842791
2014,DF,2852372
2014,ES,3885049
2014,GO,6523222
2014,MA,6850884
2014,MG,20734097
2014,MS,2619657
2014,MT,3224357
2014,PA,8073924
2014,PB,3943885
2014,PE,9277727
2014,PI,3194718
2014,PR,11081692
2014,RJ,16461173
2014,RN,3408510
2014,RO,1748531
2014,RR,496936
2014,RS,11207274
2014,SC,6727148
2014,SE,2219574
2014,SP,44035304
2014,TO,1496880
2015,AC,803513
2015,AL,3340932
2015,AM,3938336
2015,AP,766679
2015,BA,15203334
2015,CE,8904459
2015,DF,2914830
2015,ES,3929911
2015,GO,6610681
2015,MA,6904241
2015,MG,20869101
2015,MS,2651235
2015,MT,3265486
2015,PA,8175113
2015,PB,3972202
2015,PE,9345173
2015,PI,3204028
2015,PR,11163018
2015,RJ,16550024
2015,RN,3442175
2015,RO,1768204
2015,RR,505665
2015,RS,11247972
2015,SC,6819190
2015,SE,2242937
2015,SP,44396484
2015,TO,1515126
2016,AC,816687
2016,AL,3358963
2016,AM,4001667
2016,AP,782295
2016,BA,15276566
2016,CE,8963663
2016,DF,2977216
2016,ES,3973697
2016,GO,6695855
2016,MA,6954036
2016,MG,20997560
2016,MS,2682386
2016,MT,3305531
2016,PA,8272724
2016,PB,3999415
2016,PE,9410336
2016,PI,3212180
2016,PR,11242720
2016,RJ,16635996
2016,RN,3474998
2016,RO,1787279
2016,RR,514229
2016,RS,11286500
2016,SC,6910553
2016,SE,2265779
2016,SP,44749699
2016,TO,1532902
2017,AC,829619
2017,AL,3375823
2017,AM,4063614
2017,AP,797722
2017,BA,15344447
2017,CE,9020460
2017,DF,3039444
2017,ES,4016356
2017,GO,6778772
2017,MA,7000229
2017,MG,21119536
2017,MS,2713147
2017,MT,3344544
2017,PA,8366628
2017,PB,4025558
2017,PE,9473266
2017,PI,3219257
2017,PR,11320892
2017,RJ,16718956
2017,RN,3507003
2017,RO,1805788
2017,RR,522636
2017,RS,11322895
2017,SC,7001161
2017,SE,2288116
2017,SP,45094866
2017,TO,1550194
2018,AC,869265
2018,AL,3322820
2018,AM,4080611
2018,AP,829494
2018,BA,14812617
2018,CE,9075649
2018,DF,2974703
2018,ES,3972388
2018,GO,6921161
2018,MA,7035055
2018,MG,21040662
2018,MS,2748023
2018,MT,3441998
2018,PA,8513497
2018,PB,3996496
2018,PE,9496294
2018,PI,3264531
2018,PR,11348937
2018,RJ,17159960
2018,RN,3479010
2018,RO,1757589
2018,RR,576568
2018,RS,11329605
2018,SC,7075494
2018,SE,2278308
2018,SP,45538936
2018,TO,1555229
2019,AC,881935
2019,AL,3337357
2019,AM,4144597
2019,AP,845731
2019,BA,14873064
2019,CE,9132078
2019,DF,3015268
2019,ES,4018650
2019,GO,7018354
2019,MA,7075181
2019,MG,21168791
2019,MS,2778986
2019,MT,3484466
2019,PA,8602865
2019,PB,4018127
2019,PE,9557071
2019,PI,3273227
2019,PR,11433957
2019,RJ,17264943
2019,RN,3506853
2019,RO,1777225
2019,RR,605761
2019,RS,11377239
2019,SC,7164788
2019,SE,2298696
2019,SP,45919049
2019,TO,1572866
2020,AC,894470
2020,AL,3351543
2020,AM,4207714
2020,AP,861773
2020,BA,14930634
2020,CE,9187103
2020,DF,3055149
2020,ES,4064052
2020,GO,7113540
2020,MA,7114598
2020,MG,21292666
2020,MS,2809394
2020,MT,3526220
2020,PA,8690745
2020,PB,4039277
2020,PE,9616621
2020,PI,3281480
2020,PR,11516840
2020,RJ,17366189
2020,RN,3534165
2020,RO,1796460
2020,RR,631181
2020,RS,11422973
2020,SC,7252502
2020,SE,2318822
2020,SP,46289333
2020,TO,1590248
2021,AC,906876
2021,AL,3365351
2021,AM,4269995
2021,AP,877613
2021,BA,14985284
2021,CE,9240580
2021,DF,3094325
2021,ES,4108508
2021,GO,7206589
2021,MA,7153262
2021,MG,21411923
2021,MS,2839188
2021,MT,3567234
2021,PA,8777124
2021,PB,4059905
2021,PE,9674793
2021,PI,3289290
2021,PR,11597484
2021,RJ,17463349
2021,RN,3560903
2021,RO,1815278
2021,RR,652713
2021,RS,11466630
2021,SC,7338473
2021,SE,2338474
2021,SP,46649132
2021,TO,1607363
